

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        4026        4026     686.395         696     4.51912
        4032        4032     687.367         697     4.51912
        4038        4038     688.329         698     4.51938
        4044        4044     689.294         699     4.52568
        4050        4050     690.253         700     4.52844
        4056        4056      691.21         701     4.52425
        4062        4062      692.18         702     4.51947
        4068        4068     693.131         703     4.52261
        4074        4074     694.094         704     4.52569
        4080        4080     695.056         705      4.5251
        4086        4086     696.012         706     4.52843
        4092        4092     696.971         707      4.5286
        4098        4098     697.932         708     4.52861
        4104        4104     698.894         709      4.5249
        4110        4110     699.867         710     4.52778
        4116        4116     700.821         711     4.52861
        4122        4122     701.775         712     4.52861
        4128        4128     702.741         713     4.52861
        4134        4134     703.702         714     4.52861
        4140        4140     704.656         715     4.52861
        4146        4146     705.624         716     4.52861
        4152        4152      706.58         717     4.52861
        4158        4158     707.536         718      4.5318
        4164        4164     708.496         719     4.53044
        4170        4170     709.457         720     4.52873
        4176        4176     710.417         721     4.52862
        4182        4182     711.373         722     4.52861
        4188        4188     712.332         723     4.52861
        4194        4194     713.287         724     4.53055
        4200        4200     714.256         725     4.52894
        4206        4206     715.208         726     4.52861
        4212        4212     716.166         727     4.52888
        4218        4218     717.126         728     4.53336
        4224        4224     718.083         729     4.52908
        4230        4230     719.039         730     4.53191
        4236        4236     719.996         731     4.52922
        4242        4242     720.952         732     4.53072
        4248        4248     721.915         733     4.53532
        4254        4254     722.868         734     4.53773
        4260        4260     723.831         735     4.53705
        4266        4266     724.788         736     4.53424
        4272        4272     725.741         737     4.53746
        4278        4278     726.703         738     4.53811
        4284        4284      727.66         739     4.53811
        4290        4290      728.61         740     4.53811
        4296        4296     729.569         741     4.53271
        4302        4302     730.526         742     4.53497
        4308        4308     731.486         743     4.53464
        4314        4314     732.432         744      4.5367
        4320        4320     733.396         745     4.53803
        4326        4326     734.352         746      4.5381
        4332        4332     735.305         747     4.53811
        4338        4338     736.263         748     4.53811
        4344        4344     737.215         749     4.53811
        4350        4350     738.176         750     4.53811
        4356        4356     739.131         751     4.53811
        4362        4362     740.083         752     4.53811
        4368        4368     741.033         753     4.53811
        4374        4374     741.999         754     4.53811
        4380        4380     742.955         755     4.53811
